tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,inbound_flag,brand_hint,normalized_text,text_length,word_count
1000186,356792,True,Fri Nov 03 18:43:38 +0000 2017,@115858 @AppleSupport  y’all need to fix this fr I️ shouldn’t be having this petty ass problem,1000185,,True,AppleSupport,@115858 @applesupport y’all need to fix this fr i️ shouldn’t be having this petty ass problem,94,16
1000225,356801,True,Fri Nov 03 18:48:33 +0000 2017,I need @115858 to fix this fucking issue 👉🏼 I️,1000224,,True,AppleSupport,i need @115858 to fix this fucking issue 👉🏼 i️,46,10
1000677,167119,True,Sat Oct 14 09:24:44 +0000 2017,@Uber_Support u all r getting worst day by day. Terrible experience everytime..fed up of u all,1000676,,True,Uber_Support,@uber_support u all r getting worst day by day. terrible experience everytime..fed up of u all,94,16
1001005,161904,True,Sat Oct 14 12:16:26 +0000 2017,@AmazonHelp I preordered amazon echo but want to go for amazon plus now. Anyway to reach out to seller? I want another invitation.,1001003,,True,AmazonHelp,@amazonhelp i preordered amazon echo but want to go for amazon plus now. anyway to reach out to seller? i want another invitation.,130,23
100102,137934,True,Thu Nov 30 17:27:20 +0000 2017,"@Uber_Support Ok, sent a DM about 10 mins ago.  Looking forward to hearing from you.  🙂",100104,100101.0,True,Uber_Support,"@uber_support ok, sent a dm about 10 mins ago. looking forward to hearing from you. 🙂",87,16
1001122,357008,True,Mon Oct 23 04:18:46 +0000 2017,@AppleSupport My carrier BSNL allows hotspot. Please tell me what should I do now?,1001124,1001120.0,True,AppleSupport,@applesupport my carrier bsnl allows hotspot. please tell me what should i do now?,82,14
1001438,357075,True,Sat Oct 14 12:52:47 +0000 2017,"@Tesco Tesco selling old chickens sent back from Aldi https://t.co/vtxsoWxs0v
Retweet people, spread the word",,1001411.0,True,unknown,"@tesco tesco selling old chickens sent back from aldi https://t.co/vtxsowxs0v retweet people, spread the word",109,15
1001601,357112,True,Sun Oct 22 17:38:38 +0000 2017,@SW_Help Do you no longer travel direct from Exeter St Davids to London Waterloo?,1001599,,True,SW_Help,@sw_help do you no longer travel direct from exeter st davids to london waterloo?,81,14
1001655,228355,True,Mon Oct 23 16:52:30 +0000 2017,@ArgosHelpers @115830 Your in store system is designed for the lowest common denominator yet it still evaded my understanding. And I'm like really clever.,1001658,1001654.0,True,unknown,@argoshelpers @115830 your in store system is designed for the lowest common denominator yet it still evaded my understanding. and i'm like really clever.,154,24
1001663,228355,True,Mon Oct 23 18:56:18 +0000 2017,@ArgosHelpers @357121 @115830 Instead they are fundamental to even seeing about availability. The iPads don't give info and send confirmation too late. Waste of time.,1001664,1001661.0,True,unknown,@argoshelpers @357121 @115830 instead they are fundamental to even seeing about availability. the ipads don't give info and send confirmation too late. waste of time.,166,25
1002558,357313,True,Sat Oct 14 12:23:48 +0000 2017,@115850 @118702 I am receiving  to many your promotional emails either send me few( not more than 1-2 in a week ) or stop this.,1002557,,True,AmazonHelp,@115850 @118702 i am receiving to many your promotional emails either send me few( not more than 1-2 in a week ) or stop this.,127,25
1002742,357353,True,Sat Oct 14 05:23:16 +0000 2017,@AppleSupport my phone keeps making a noise like a smoke detector all on its own! Even if on silent! What’s going on??,1002740,,True,AppleSupport,@applesupport my phone keeps making a noise like a smoke detector all on its own! even if on silent! what’s going on??,118,22
1003240,134621,True,Sun Oct 22 14:55:09 +0000 2017,"@ArgosHelpers 700/1569 can you please confirm if these have hush button as described, as I can only see test button?",1003239,,True,ArgosHelpers,"@argoshelpers 700/1569 can you please confirm if these have hush button as described, as i can only see test button?",116,20
1003767,160725,True,Thu Oct 19 19:26:10 +0000 2017,@SpotifyCares The same issue occurs in any device I tried to use.,1003766,1003768.0,True,SpotifyCares,@spotifycares the same issue occurs in any device i tried to use.,65,12
10040,117721,True,Thu Nov 02 21:50:34 +0000 2017,@ChipotleTweets forgot to post yesterday so here’s day 18 AND 19 https://t.co/t1cT0S6QB2,"521113,521114,521115,521116,521117,521118,521119,521120,521121,521105,521122",10024.0,True,ChipotleTweets,@chipotletweets forgot to post yesterday so here’s day 18 and 19 https://t.co/t1ct0s6qb2,88,12
1004275,357702,True,Sun Oct 22 14:50:20 +0000 2017,@117164 Can you tell me the email of the Hotel Manager at Heathrow M4 J4 please?,1004274,,True,IHGService,@117164 can you tell me the email of the hotel manager at heathrow m4 j4 please?,80,16
1004706,357801,True,Sun Oct 22 14:04:05 +0000 2017,"Nice to see that @Tesco take your complaints seriously. After reporting a mis-translation 3 times and being called a liar, to Twitter I go.. https://t.co/zo3w9qSGaR","1004707,1004703",,True,unknown,"nice to see that @tesco take your complaints seriously. after reporting a mis-translation 3 times and being called a liar, to twitter i go.. https://t.co/zo3w9qsgar",164,25
1004854,357833,True,Sun Oct 22 09:28:16 +0000 2017,@British_Airways bag damaged during my trip and your ground handling tells me they can't do anything for me... what's the story?,"1004853,1004855",,True,British_Airways,@british_airways bag damaged during my trip and your ground handling tells me they can't do anything for me... what's the story?,128,21
1004863,357835,True,Sun Oct 22 15:41:29 +0000 2017,Reservation system down.  People in our seats.  My 8&amp;6yr olds sitting alone.  Not good enough @VirginTrains or the people refusing to move,1004862,,True,VirginTrains,reservation system down. people in our seats. my 8&amp;6yr olds sitting alone. not good enough @virgintrains or the people refusing to move,142,22
1004970,357862,True,Sat Nov 25 17:10:26 +0000 2017,"@AppleSupport I have the latest IOS and sometimes my entire top display like the Battery, signal, time etc disappears... Only way it comes back is if I reset my phone. https://t.co/obXcC4zwKm",1004968,,True,AppleSupport,"@applesupport i have the latest ios and sometimes my entire top display like the battery, signal, time etc disappears... only way it comes back is if i reset my phone. https://t.co/obxcc4zwkm",191,31
1005236,357928,True,Thu Oct 12 07:55:52 +0000 2017,@MicrosoftHelps I'm trying to open Windows Store but im getting the message; Something bad happened. Unknown Layout specified in manifest,1005234,,True,MicrosoftHelps,@microsofthelps i'm trying to open windows store but im getting the message; something bad happened. unknown layout specified in manifest,137,20
1005467,352216,True,Sun Oct 22 19:21:59 +0000 2017,@122155 @357986 @SW_Help,1005465,1005468.0,True,unknown,@122155 @357986 @sw_help,24,3
1005484,304539,True,Sun Oct 22 18:43:11 +0000 2017,"@hulu_support This happens all the time with Hulu Live TV. And it happens on the computer, Apple TV, and Roku. These games are the reason we got Hulu and",,1005483.0,True,unknown,"@hulu_support this happens all the time with hulu live tv. and it happens on the computer, apple tv, and roku. these games are the reason we got hulu and",153,29
1005698,358044,True,Sun Nov 19 17:50:24 +0000 2017,@sainsburys Hi - I googled it and came up with this page: https://t.co/HZ40GA3rXa,,1005696.0,True,unknown,@sainsburys hi - i googled it and came up with this page: https://t.co/hz40ga3rxa,81,13
1005806,358061,True,Sat Oct 14 06:45:59 +0000 2017,@115758 2 games in a row? Can you fix you’re servers @48290 @358062 https://t.co/liDdI90ODO,1005804,,True,ATVIAssist,@115758 2 games in a row? can you fix you’re servers @48290 @358062 https://t.co/liddi90odo,91,14
1005839,358065,True,Sat Oct 14 13:23:16 +0000 2017,@LondonMidland what's the chances of leaving Liverpool South Parkway today please??? Waited over an hour - no feedback from staff. Rubbish,1005837,,True,LondonMidland,@londonmidland what's the chances of leaving liverpool south parkway today please??? waited over an hour - no feedback from staff. rubbish,138,21
1006113,222794,True,Sun Oct 22 19:43:56 +0000 2017,@AppleSupport Looked at this and it’s all fine. Just doesn’t make or receive calls for Facebook and WhatsApp,,1006112.0,True,unknown,@applesupport looked at this and it’s all fine. just doesn’t make or receive calls for facebook and whatsapp,108,18
100643,152779,True,Fri Nov 24 18:02:04 +0000 2017,"@115714 I switched to the latest unlimited plan a few months ago. Would I still be able to get Hulu? If so, how?",159708,100641.0,True,sprintcare,"@115714 i switched to the latest unlimited plan a few months ago. would i still be able to get hulu? if so, how?",112,23
1006566,358188,True,Sun Oct 22 19:11:33 +0000 2017,@GWRHelp actually i’ll sort this myself - you’ve spoilt a great weekend,1006564,,True,GWRHelp,@gwrhelp actually i’ll sort this myself - you’ve spoilt a great weekend,71,12
